combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
58,1,0.45,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
59,1,0.45,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
60,1,0.45,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
61,1,0.45,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
62,1,0.45,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
63,1,0.45,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
64,1,0.45,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
65,1,0.5,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
66,1,0.5,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
67,1,0.5,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
68,1,0.5,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
69,1,0.5,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
70,1,0.5,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
71,1,0.5,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
72,1,0.5,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
73,2,0.1,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
74,2,0.1,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
75,2,0.1,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
76,2,0.1,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
77,2,0.1,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
78,2,0.1,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
79,2,0.1,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
80,2,0.1,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
81,2,0.15,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
82,2,0.15,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
83,2,0.15,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
84,2,0.15,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
85,2,0.15,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
86,2,0.15,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
87,2,0.15,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
88,2,0.15,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
89,2,0.2,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
90,2,0.2,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
91,2,0.2,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
92,2,0.2,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
93,2,0.2,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
94,2,0.2,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
95,2,0.2,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
96,2,0.2,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
97,2,0.25,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
98,2,0.25,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
99,2,0.25,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
100,2,0.25,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
101,2,0.25,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
102,2,0.25,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
103,2,0.25,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
104,2,0.25,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
105,2,0.3,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
106,2,0.3,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
107,2,0.3,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
108,2,0.3,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
109,2,0.3,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
110,2,0.3,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
111,2,0.3,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
112,2,0.3,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
113,2,0.35,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
114,2,0.35,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
115,2,0.35,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
116,2,0.35,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
117,2,0.35,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
118,2,0.35,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
119,2,0.35,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
120,2,0.35,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
121,2,0.4,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
122,2,0.4,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
123,2,0.4,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
124,2,0.4,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
125,2,0.4,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
126,2,0.4,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
127,2,0.4,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
128,2,0.4,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
129,2,0.45,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
130,2,0.45,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
131,2,0.45,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
132,2,0.45,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
133,2,0.45,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
134,2,0.45,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
135,2,0.45,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
136,2,0.45,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
137,2,0.5,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
138,2,0.5,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
139,2,0.5,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
140,2,0.5,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
141,2,0.5,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
142,2,0.5,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
143,2,0.5,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
144,2,0.5,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
145,3,0.1,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
146,3,0.1,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
147,3,0.1,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
148,3,0.1,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
149,3,0.1,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
150,3,0.1,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
151,3,0.1,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
152,3,0.1,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
153,3,0.15,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
154,3,0.15,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
155,3,0.15,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
156,3,0.15,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
157,3,0.15,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
158,3,0.15,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
159,3,0.15,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
160,3,0.15,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
161,3,0.2,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
162,3,0.2,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
163,3,0.2,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
164,3,0.2,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
165,3,0.2,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
166,3,0.2,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
167,3,0.2,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
168,3,0.2,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
169,3,0.25,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
170,3,0.25,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
171,3,0.25,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
172,3,0.25,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
173,3,0.25,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
174,3,0.25,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
175,3,0.25,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
176,3,0.25,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
177,3,0.3,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
178,3,0.3,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
179,3,0.3,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
180,3,0.3,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
181,3,0.3,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
182,3,0.3,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
183,3,0.3,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
184,3,0.3,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
185,3,0.35,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
186,3,0.35,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
187,3,0.35,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
188,3,0.35,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
189,3,0.35,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
190,3,0.35,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
191,3,0.35,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
192,3,0.35,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
193,3,0.4,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
