combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
57,1,4.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
58,1,4.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
59,1,4.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
60,1,4.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
61,1,4.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
62,1,4.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
63,1,4.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
64,1,4.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
65,1,4.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
66,1,4.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
67,1,4.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
68,1,4.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
69,1,4.5,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
70,1,4.5,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
71,1,4.5,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
72,1,4.5,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
73,1,5.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
74,1,5.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
75,1,5.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
76,1,5.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
77,1,5.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
78,1,5.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
79,1,5.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
80,1,5.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
81,1,5.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
82,1,5.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
83,1,5.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
84,1,5.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
85,1,5.5,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
86,1,5.5,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
87,1,5.5,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
88,1,5.5,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
89,1,6.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
90,1,6.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
91,1,6.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
92,1,6.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
93,1,6.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
94,1,6.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
95,1,6.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
96,1,6.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
97,2,0.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
98,2,0.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
99,2,0.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
100,2,0.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
101,2,0.5,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
102,2,0.5,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
103,2,0.5,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
104,2,0.5,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
105,2,1.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
106,2,1.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
107,2,1.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
108,2,1.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
109,2,1.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
110,2,1.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
111,2,1.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
112,2,1.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
113,2,1.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
114,2,1.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
115,2,1.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
