combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1,4.0,0.2,traditional,-1117.3,1783.449999999988,-0.63,175,92.0,2,-0.13
2,1,4.0,0.2,staggered,-1299.1,1803.449999999988,-0.72,90,67.78,5,-0.56
3,1,4.0,0.4,traditional,-1496.9,1786.2499999999873,-0.84,225,87.11,2,-0.39
4,1,4.0,0.4,staggered,-1853.2,2136.3499999999876,-0.87,125,74.4,4,-0.95
5,1,4.0,0.6,traditional,1607.1,1042.1499999999996,1.54,253,81.82,4,1.68
6,1,4.0,0.6,staggered,739.5,1331.649999999985,0.56,178,73.6,4,1.31
7,1,4.0,0.8,traditional,1124.4,1155.949999999999,0.97,252,77.38,4,1.23
8,1,4.0,0.8,staggered,366.29999999999995,1393.9499999999898,0.26,210,72.38,4,0.87
9,1,8.0,0.2,traditional,-2290.0,2510.5500000000156,-0.91,216,86.57,2,-1.2
10,1,8.0,0.2,staggered,-1989.1,2305.7999999999865,-0.86,124,72.58,4,-1.09
11,1,8.0,0.4,traditional,525.4000000000001,1453.2499999999982,0.36,242,76.45,4,0.84
12,1,8.0,0.4,staggered,806.8,1515.749999999991,0.53,153,62.09,4,1.17
13,1,8.0,0.6,traditional,-2039.1,2651.6499999999905,-0.77,244,65.98,5,-0.4
14,1,8.0,0.6,staggered,-1610.0,2377.54999999999,-0.68,185,55.14,5,-0.26
15,1,8.0,0.8,traditional,-1804.1,2715.2499999999945,-0.66,245,58.78,5,-0.28
16,1,8.0,0.8,staggered,-1525.0,2516.149999999996,-0.61,225,55.11,5,-0.19
17,1,12.0,0.2,traditional,-530.0,1810.75,-0.29,234,80.34,4,0.32
18,1,12.0,0.2,staggered,1035.0,1205.949999999997,0.86,155,69.68,4,1.45
19,1,12.0,0.4,traditional,-2529.1,3027.249999999991,-0.84,244,65.98,5,-0.59
20,1,12.0,0.4,staggered,-1880.0,2566.6999999999916,-0.73,168,50.6,5,-0.38
21,1,12.0,0.6,traditional,-1315.0,2999.149999999996,-0.44,249,57.03,5,-0.09
22,1,12.0,0.6,staggered,15.0,2848.649999999996,0.01,201,46.77,6,0.36
23,1,12.0,0.8,traditional,-10.0,2526.8499999999967,-0.0,248,51.21,5,0.3
24,1,12.0,0.8,staggered,180.0,2560.9499999999953,0.07,227,46.7,6,0.37
25,1,16.0,0.2,traditional,-255.0,1521.8499999999967,-0.17,236,75.85,4,0.41
26,1,16.0,0.2,staggered,450.0,1716.849999999995,0.26,151,61.59,4,0.89
27,1,16.0,0.4,traditional,-1905.0,2933.149999999998,-0.65,244,58.61,5,-0.29
28,1,16.0,0.4,staggered,1015.0,2328.149999999998,0.44,184,45.11,6,0.7
29,1,16.0,0.6,traditional,3265.0,2008.6500000000106,1.63,248,51.21,5,1.14
30,1,16.0,0.6,staggered,3775.0,2205.150000000016,1.71,213,42.72,6,1.35
31,1,16.0,0.8,traditional,5675.0,2205.150000000016,2.57,249,46.18,6,1.63
32,1,16.0,0.8,staggered,5425.0,2310.150000000016,2.35,239,43.93,6,1.6
33,1,20.0,0.2,traditional,-1549.1,2005.7999999999847,-0.77,242,70.25,5,-0.22
34,1,20.0,0.2,staggered,-30.0,1846.5499999999993,-0.02,171,57.89,5,0.44
35,1,20.0,0.4,traditional,1060.0,2024.9999999999945,0.52,250,54.8,5,0.58
36,1,20.0,0.4,staggered,5150.9,1724.3500000000004,2.99,200,43.0,6,1.73
37,1,20.0,0.6,traditional,6500.0,2306.8500000000095,2.82,248,46.77,6,1.74
38,1,20.0,0.6,staggered,6290.0,2226.250000000002,2.83,217,39.17,6,1.77
39,1,20.0,0.8,traditional,7940.0,1781.2500000000036,4.46,250,44.4,6,1.94
40,1,20.0,0.8,staggered,8115.0,1826.2500000000036,4.44,233,40.34,7,2.04
41,1,24.0,0.2,traditional,-3265.0,3571.7000000000153,-0.91,243,65.84,5,-0.88
42,1,24.0,0.2,staggered,-175.0,2099.1999999999944,-0.08,168,50.6,5,0.33
43,1,24.0,0.4,traditional,6695.9,1954.950000000008,3.43,249,51.41,5,1.82
44,1,24.0,0.4,staggered,6745.0,2101.8500000000113,3.21,200,39.5,6,1.96
45,1,24.0,0.6,traditional,8030.0,2086.0499999999984,3.85,249,44.58,6,1.89
46,1,24.0,0.6,staggered,8035.0,1965.8500000000004,4.09,217,36.41,7,1.96
47,1,24.0,0.8,traditional,6920.0,3290.0,2.1,250,39.6,7,1.56
48,1,24.0,0.8,staggered,7045.0,3159.9999999999973,2.23,234,35.47,8,1.62
49,2,4.0,0.2,traditional,-1669.1,1678.5999999999876,-0.99,168,93.45,2,-0.91
50,2,4.0,0.2,staggered,-2005.0,2004.4999999999836,-1.0,79,65.82,3,-1.86
51,2,4.0,0.4,traditional,-1316.0,2018.6499999999924,-0.65,208,90.38,2,-0.21
52,2,4.0,0.4,staggered,-904.5999999999999,1380.1499999999942,-0.66,114,82.46,2,0.16
53,2,4.0,0.6,traditional,-859.7,1889.2499999999964,-0.46,242,83.06,2,0.12
54,2,4.0,0.6,staggered,-1588.2,2128.94999999999,-0.75,166,75.3,3,-0.35
55,2,4.0,0.8,traditional,-1692.8,2635.749999999991,-0.64,247,77.73,4,-0.29
56,2,4.0,0.8,staggered,-1887.3,2817.4499999999916,-0.67,216,74.54,4,-0.41
57,2,8.0,0.2,traditional,-2285.0,2439.300000000001,-0.94,198,89.9,2,-1.1
58,2,8.0,0.2,staggered,-1810.0,1944.2999999999865,-0.93,108,79.63,2,-0.88
59,2,8.0,0.4,traditional,-2584.6,3917.150000000006,-0.66,245,77.55,4,-0.67
60,2,8.0,0.4,staggered,-3619.1,4843.050000000024,-0.75,142,61.27,5,-1.47
61,2,8.0,0.6,traditional,-4308.2,5794.850000000058,-0.74,243,68.31,4,-1.16
62,2,8.0,0.6,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
63,2,8.0,0.8,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
64,2,8.0,0.8,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
65,2,12.0,0.2,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
66,2,12.0,0.2,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
67,2,12.0,0.4,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
68,2,12.0,0.4,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
69,2,12.0,0.6,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
70,2,12.0,0.6,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
71,2,12.0,0.8,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
72,2,12.0,0.8,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
73,2,16.0,0.2,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
74,2,16.0,0.2,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
75,2,16.0,0.4,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
76,2,16.0,0.4,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
77,2,16.0,0.6,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
78,2,16.0,0.6,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
79,2,16.0,0.8,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
80,2,16.0,0.8,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
81,2,20.0,0.2,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
82,2,20.0,0.2,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
83,2,20.0,0.4,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
84,2,20.0,0.4,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
85,2,20.0,0.6,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
86,2,20.0,0.6,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
87,2,20.0,0.8,traditional,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
88,2,20.0,0.8,staggered,-5540.2,5957.800000000057,-0.93,154,53.9,5,-2.04
