combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
275,5,6.0,0.4,traditional,2844.5,1790.1999999999534,1.59,253,64.43,6,1.33
276,5,6.0,0.4,staggered,5359.5,1405.1999999999407,3.81,216,58.33,6,2.17
277,5,6.0,0.6,traditional,3954.5,2350.1999999999334,1.68,254,55.91,8,1.41
278,5,6.0,0.6,staggered,5684.5,2128.399999999927,2.67,232,51.72,8,1.9
279,5,6.0,0.8,traditional,6969.5,2122.749999999909,3.28,255,52.16,8,2.06
280,5,6.0,0.8,staggered,6474.5,1942.7499999999145,3.33,242,49.59,8,1.98
281,5,8.0,0.2,traditional,544.5,1822.2999999992544,0.3,251,72.51,4,0.71
282,5,8.0,0.2,staggered,4889.5,1339.949999999888,3.65,205,65.85,5,2.32
283,5,8.0,0.4,traditional,4184.5,2234.749999999789,1.87,253,58.5,6,1.47
284,5,8.0,0.4,staggered,5759.5,2064.7499999998254,2.79,218,51.83,6,1.9
285,5,8.0,0.6,traditional,7699.5,2504.7499999998126,3.07,255,52.16,8,2.09
286,5,8.0,0.6,staggered,6774.5,2524.749999999838,2.68,229,46.72,8,1.92
287,5,8.0,0.8,traditional,8533.6,3439.749999999811,2.48,254,46.85,8,2.11
288,5,8.0,0.8,staggered,7828.6,3629.7499999998217,2.16,245,44.9,8,1.99
289,5,10.0,0.2,traditional,2564.5,1526.7499999998945,1.68,250,68.4,6,1.32
290,5,10.0,0.2,staggered,6214.5,1449.2999999999265,4.29,209,62.2,6,2.47
291,5,10.0,0.4,traditional,5779.5,2640.1999999999316,2.19,252,54.37,8,1.71
292,5,10.0,0.4,staggered,6824.5,2629.749999999831,2.6,223,48.43,8,1.92
293,5,10.0,0.6,traditional,9458.6,2704.749999999807,3.5,253,48.22,8,2.24
294,5,10.0,0.6,staggered,10063.6,3369.749999999827,2.99,230,43.04,8,2.39
295,5,10.0,0.8,traditional,9963.6,3024.749999999807,3.29,253,43.08,8,2.18
296,5,10.0,0.8,staggered,10453.6,3184.749999999818,3.28,243,40.74,8,2.3
297,5,12.0,0.2,traditional,3764.5,1790.1999999999534,2.1,253,64.43,6,1.55
298,5,12.0,0.2,staggered,5899.5,1825.1999999999225,3.23,216,58.33,6,2.12
299,5,12.0,0.4,traditional,7809.5,2954.7499999997926,2.64,255,52.16,8,1.98
300,5,12.0,0.4,staggered,8339.5,2587.04999999981,3.22,222,45.05,8,2.08
301,5,12.0,0.6,traditional,9373.6,3759.7499999997635,2.49,252,44.84,8,2.02
302,5,12.0,0.6,staggered,10113.6,3984.7499999997744,2.54,232,40.09,8,2.19
303,5,12.0,0.8,traditional,8518.6,4114.7499999998,2.07,253,40.71,9,1.77
304,5,12.0,0.8,staggered,8632.7,4284.749999999796,2.01,242,38.02,9,1.82
305,5,14.0,0.2,traditional,2574.5,2371.549999999739,1.09,252,60.71,6,1.11
306,5,14.0,0.2,staggered,4919.5,1903.0499999997082,2.59,221,54.75,6,1.7
307,5,14.0,0.4,traditional,8648.6,2599.749999999811,3.33,254,50.39,8,2.03
308,5,14.0,0.4,staggered,11113.6,3079.7499999997926,3.61,221,42.53,8,2.46
309,5,14.0,0.6,traditional,10278.6,3029.7499999997635,3.39,253,42.29,8,2.04
310,5,14.0,0.6,staggered,9567.7,3484.7499999997926,2.75,234,37.61,8,1.95
311,5,14.0,0.8,traditional,9347.7,4419.749999999771,2.11,253,37.55,9,1.79
312,5,14.0,0.8,staggered,9237.7,4419.749999999771,2.09,248,36.29,9,1.78
