combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
60,10.0,0.35,2196.62,4815.66999999992,0.46,237.0,43.46,8.0,0.72
61,10.0,0.4,6276.62,3889.429999999924,1.61,237.0,43.46,7.0,1.47
62,10.0,0.45,4506.62,4307.289999999866,1.05,236.0,40.25,7.0,1.04
63,10.0,0.5,1606.62,8987.289999999915,0.18,236.0,38.56,7.0,0.38
64,15.0,0.1,-633.3800000000001,1620.9299999999748,-0.39,237.0,51.05,7.0,0.32
65,15.0,0.15,-53.38000000000011,1965.62999999999,-0.03,237.0,51.05,5.0,0.47
66,15.0,0.2,4186.62,2123.5300000000025,1.97,237.0,54.01,6.0,1.73
67,15.0,0.25,6686.62,1688.7899999999809,3.96,237.0,53.59,5.0,2.11
68,15.0,0.3,6391.36,2808.209999999959,2.28,236.0,51.27,5.0,1.77
69,15.0,0.35,7851.36,3348.2699999999368,2.34,236.0,49.58,6.0,1.89
70,15.0,0.4,7831.36,2786.1899999999587,2.81,236.0,47.46,6.0,1.72
71,15.0,0.45,-3495.2200000000003,9183.359999999866,-0.38,153.0,42.48,6.0,-0.42
72,15.0,0.5,3491.3599999999997,8645.149999999945,0.4,236.0,43.22,6.0,0.6
73,30.0,0.1,-775.52,1999.1500000000015,-0.39,248.0,50.81,7.0,0.25
74,30.0,0.15,134.48000000000002,2398.570000000025,0.06,248.0,51.61,9.0,0.56
75,30.0,0.2,5929.22,1687.6900000000242,3.51,247.0,55.87,5.0,2.19
76,30.0,0.25,9209.22,1588.2099999999937,5.8,247.0,56.68,5.0,2.63
77,30.0,0.3,9073.96,1608.7299999999832,5.64,246.0,55.28,5.0,2.23
78,30.0,0.35,7743.96,4889.949999999964,1.58,246.0,51.63,4.0,1.68
79,30.0,0.4,1573.96,5182.089999999953,0.3,246.0,47.15,5.0,0.48
80,30.0,0.45,423.96000000000004,6947.009999999726,0.06,246.0,45.12,7.0,0.26
81,30.0,0.5,-3479.5,8370.879999999857,-0.42,174.0,43.1,6.0,-0.46
