combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,0.1,-1802.86,2786.54999999975,-0.65,239.0,45.61,6.0,-0.44
2,1.0,0.15,-2682.8599999999997,4297.409999999847,-0.62,239.0,35.15,15.0,-0.84
3,1.0,0.2,-3556.44,4054.3999999998423,-0.88,206.0,27.67,22.0,-1.33
4,1.0,0.25,-3462.2200000000003,4390.179999999871,-0.79,203.0,23.65,22.0,-1.17
5,1.0,0.3,-3508.46,3601.5199999997876,-0.97,179.0,20.11,21.0,-1.23
6,1.0,0.35,-3553.2,4046.2599999996664,-0.88,180.0,17.78,22.0,-1.16
7,1.0,0.4,-3468.0,4361.0599999997,-0.8,200.0,16.5,22.0,-0.95
8,1.0,0.45,-3502.74,4795.799999999605,-0.73,201.0,14.93,23.0,-0.91
9,1.0,0.5,-102.8599999999999,4796.6099999996395,-0.02,239.0,16.32,23.0,0.3
10,2.0,0.1,-699.1600000000001,2304.689999999884,-0.3,234.0,56.41,7.0,0.23
11,2.0,0.15,-629.1600000000001,3923.069999999938,-0.16,234.0,46.15,7.0,0.22
12,2.0,0.2,-1389.16,3650.469999999842,-0.38,234.0,38.03,7.0,-0.11
13,2.0,0.25,-3511.06,3508.6899999997277,-1.0,169.0,30.18,13.0,-1.16
14,2.0,0.3,-3633.14,3658.919999999849,-0.99,161.0,25.47,13.0,-1.19
15,2.0,0.35,-3602.62,4116.1999999997715,-0.88,163.0,23.31,13.0,-1.07
16,2.0,0.4,-3646.32,4659.899999999802,-0.78,168.0,21.43,13.0,-0.99
17,2.0,0.45,-3586.32,5099.899999999708,-0.7,168.0,19.64,18.0,-0.91
18,2.0,0.5,-3554.76,5568.339999999747,-0.64,174.0,18.39,18.0,-0.84
19,3.0,0.1,370.31999999999994,2528.5699999998196,0.15,232.0,61.21,4.0,0.79
20,3.0,0.15,80.31999999999994,3404.569999999947,0.02,232.0,50.43,9.0,0.51
21,3.0,0.2,-3463.2,4017.7599999997265,-0.86,180.0,38.89,12.0,-1.11
22,3.0,0.25,-3593.66,4620.939999999849,-0.78,159.0,32.7,13.0,-1.18
23,3.0,0.3,-3508.4,4761.459999999935,-0.74,160.0,29.38,13.0,-1.04
24,3.0,0.35,-3522.62,5425.6799999998,-0.65,163.0,26.99,13.0,-0.94
25,3.0,0.4,-3516.32,6069.379999999845,-0.58,168.0,25.0,17.0,-0.85
26,3.0,0.45,-3461.06,6664.119999999741,-0.52,169.0,23.08,18.0,-0.79
27,3.0,0.5,2370.3199999999997,5645.969999999807,0.42,232.0,25.86,20.0,0.8
28,4.0,0.1,326.0999999999999,2297.169999999953,0.14,235.0,62.98,4.0,0.74
29,4.0,0.15,-143.9000000000001,3562.0299999999643,-0.04,235.0,51.91,6.0,0.4
30,4.0,0.2,-1683.9,3472.549999999879,-0.48,235.0,42.98,6.0,-0.21
31,4.0,0.25,-3542.62,3918.399999999814,-0.9,163.0,34.97,11.0,-1.08
32,4.0,0.3,-3525.2799999999997,4515.099999999962,-0.78,172.0,32.56,11.0,-0.92
33,4.0,0.35,-3490.54,5580.359999999847,-0.63,171.0,29.82,11.0,-0.85
34,4.0,0.4,2006.1,4951.689999999878,0.41,235.0,31.49,11.0,0.77
35,4.0,0.45,4166.1,4652.089999999838,0.9,235.0,30.64,11.0,1.22
36,4.0,0.5,5546.1,4213.529999999953,1.32,235.0,29.79,11.0,1.43
37,5.0,0.1,-658.1199999999999,3185.609999999944,-0.21,238.0,63.87,5.0,0.22
38,5.0,0.15,-3550.54,3548.16999999993,-1.0,171.0,49.71,6.0,-1.22
39,5.0,0.2,-3766.84,3797.879999999652,-0.99,166.0,42.77,8.0,-1.19
40,5.0,0.25,-3766.84,4157.699999999897,-0.91,166.0,37.95,9.0,-1.07
41,5.0,0.3,-3637.36,4138.220000000007,-0.88,164.0,34.76,9.0,-0.94
42,5.0,0.35,-3656.84,5461.859999999859,-0.67,166.0,31.93,9.0,-0.87
43,5.0,0.4,-3569.5,6285.499999999916,-0.57,175.0,29.71,12.0,-0.76
44,5.0,0.45,4881.88,5537.86999999985,0.88,238.0,33.19,12.0,1.3
45,5.0,0.5,5441.88,4787.869999999892,1.14,238.0,31.93,12.0,1.34
