combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,2.0,231.79999999999995,1864.749999999729,0.12,252.0,56.75,9.0,0.71
2,1.0,4.0,1071.8,2782.3499999996893,0.39,252.0,40.08,9.0,0.81
3,1.0,6.0,1316.8,2306.9499999998443,0.57,252.0,31.75,14.0,0.74
4,1.0,8.0,5381.8,2079.2499999998363,2.59,252.0,29.37,14.0,1.71
5,1.0,10.0,7111.8,1860.9499999999061,3.82,252.0,26.59,14.0,1.92
6,1.0,12.0,8316.8,1660.9499999999043,5.01,252.0,24.6,14.0,2.0
7,1.0,14.0,5686.8,2948.949999999777,1.93,252.0,22.62,14.0,1.4
8,1.0,16.0,3971.8,2748.949999999775,1.44,252.0,22.22,14.0,1.03
9,2.0,2.0,1280.0,1519.0499999998137,0.84,250.0,62.8,5.0,1.2
10,2.0,4.0,1570.0,2777.549999999883,0.57,250.0,46.0,6.0,0.91
11,2.0,6.0,3605.0,2509.049999999943,1.44,250.0,38.0,8.0,1.32
12,2.0,8.0,7639.1,2749.0499999999356,2.78,249.0,34.54,9.0,2.11
13,2.0,10.0,8894.1,2749.04999999993,3.24,249.0,31.33,11.0,2.15
14,2.0,12.0,12184.1,2649.049999999912,4.6,249.0,30.12,11.0,2.55
15,2.0,14.0,9143.2,2549.049999999923,3.59,248.0,28.23,14.0,1.93
16,2.0,16.0,8233.2,3323.9499999997734,2.48,248.0,27.82,14.0,1.71
17,3.0,2.0,1245.5,1834.7499999997344,0.68,245.0,66.94,4.0,1.07
18,3.0,4.0,1280.5,2429.4499999996715,0.53,245.0,49.39,5.0,0.75
19,3.0,6.0,6695.5,2242.649999999936,2.99,245.0,44.08,8.0,2.05
20,3.0,8.0,8544.6,3126.74999999992,2.73,244.0,38.93,8.0,2.19
21,3.0,10.0,8979.6,3131.549999999819,2.87,244.0,35.25,13.0,2.05
22,3.0,12.0,11169.6,3921.54999999977,2.85,244.0,33.2,15.0,2.26
23,3.0,14.0,10508.7,3421.5499999997664,3.07,243.0,31.69,15.0,2.08
24,3.0,16.0,9777.8,3706.549999999763,2.64,242.0,30.99,15.0,1.9
25,4.0,2.0,1782.3,1746.5499999999302,1.02,247.0,69.23,5.0,1.29
26,4.0,4.0,1957.3,2218.649999999956,0.88,247.0,51.82,6.0,0.95
27,4.0,6.0,6952.3,2973.6499999999032,2.34,247.0,45.75,8.0,2.04
28,4.0,8.0,7441.4,3257.6499999999105,2.28,246.0,40.24,8.0,1.9
29,4.0,10.0,10841.4,3460.649999999794,3.13,246.0,38.62,8.0,2.36
30,4.0,12.0,9540.5,5010.6499999997795,1.9,245.0,35.1,12.0,1.97
31,4.0,14.0,10960.5,4510.649999999761,2.43,245.0,34.69,12.0,2.12
32,4.0,16.0,8699.6,4855.6499999997795,1.79,244.0,32.79,12.0,1.67
33,5.0,2.0,1540.0,1531.5499999999101,1.01,250.0,69.6,5.0,1.15
34,5.0,4.0,1670.0,2622.849999999906,0.64,250.0,52.8,8.0,0.83
35,5.0,6.0,5704.1,2893.6499999999087,1.97,249.0,46.59,8.0,1.7
36,5.0,8.0,7714.1,3645.6499999998214,2.12,249.0,42.17,8.0,1.9
37,5.0,10.0,9619.1,4160.64999999979,2.31,249.0,39.36,9.0,2.06
38,5.0,12.0,9093.2,5015.649999999776,1.81,248.0,36.29,12.0,1.84
39,5.0,14.0,9158.2,4415.649999999769,2.07,248.0,34.68,12.0,1.75
40,5.0,16.0,7132.3,4695.649999999787,1.52,247.0,33.2,12.0,1.37
41,6.0,2.0,-966.8,2820.0499999997346,-0.34,248.0,68.55,4.0,0.02
42,6.0,4.0,1073.2,3825.649999999863,0.28,248.0,54.84,6.0,0.61
43,6.0,6.0,5777.3,3110.6499999998723,1.86,247.0,48.99,6.0,1.65
44,6.0,8.0,8162.3,3840.649999999845,2.13,247.0,44.53,8.0,1.92
45,6.0,10.0,7277.3,5980.649999999816,1.22,247.0,40.08,9.0,1.56
46,6.0,12.0,9341.4,5280.649999999801,1.77,246.0,38.62,9.0,1.82
47,6.0,14.0,9280.5,5060.649999999798,1.83,245.0,37.14,9.0,1.73
48,6.0,16.0,8395.5,4810.649999999809,1.75,245.0,35.92,9.0,1.52
49,10.0,2.0,-2593.6,4073.74999999979,-0.64,246.0,70.33,4.0,-0.59
50,10.0,4.0,2151.4,3249.749999999871,0.66,246.0,59.35,6.0,0.87
51,10.0,6.0,5715.5,3429.749999999858,1.67,245.0,52.65,8.0,1.54
52,10.0,8.0,7165.5,2907.7499999998963,2.46,245.0,47.76,8.0,1.63
53,10.0,10.0,5773.7,5549.749999999807,1.04,243.0,43.62,9.0,1.23
54,10.0,12.0,6813.7,4894.749999999807,1.39,243.0,41.56,9.0,1.32
55,10.0,14.0,6167.8,4749.649999999878,1.3,242.0,39.67,9.0,1.17
56,10.0,16.0,5272.8,5244.649999999878,1.01,242.0,39.26,9.0,0.99
57,15.0,2.0,8.200000000000045,3898.049999999842,0.0,248.0,75.81,5.0,0.37
58,15.0,4.0,3033.2,3795.9499999998206,0.8,248.0,62.5,5.0,1.05
59,15.0,6.0,7202.3,2626.2499999999327,2.74,246.0,55.69,6.0,1.75
60,15.0,8.0,7182.3,3382.7499999999454,2.12,245.0,49.8,7.0,1.53
61,15.0,10.0,7650.5,3479.6499999999196,2.2,243.0,46.91,7.0,1.48
62,15.0,12.0,8430.5,3479.549999999914,2.42,243.0,44.44,7.0,1.51
63,15.0,14.0,9704.6,3415.949999999939,2.84,242.0,43.8,7.0,1.64
64,15.0,16.0,9209.6,3204.9499999999243,2.87,242.0,42.98,7.0,1.5
65,30.0,2.0,4773.7,2859.4499999999107,1.67,243.0,84.36,2.0,1.97
66,30.0,4.0,4268.7,5224.449999999888,0.82,243.0,68.31,6.0,1.26
67,30.0,6.0,6286.9,4674.449999999877,1.34,241.0,60.17,6.0,1.37
68,30.0,8.0,5851.0,6120.349999999876,0.96,240.0,53.75,6.0,1.17
69,30.0,10.0,6240.1,6090.349999999889,1.02,239.0,51.05,6.0,1.15
70,30.0,12.0,5439.2,5560.3499999999085,0.98,238.0,49.58,6.0,0.99
71,30.0,14.0,6148.3,5005.34999999991,1.23,237.0,48.52,6.0,1.05
72,30.0,16.0,5712.4,5965.3499999999,0.96,236.0,47.88,6.0,0.96
