combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,0.5,-812.5,1303.2499999999982,-0.62,250.0,82.8,2.0,0.25
2,1.0,1.0,-675.0,1534.0499999999956,-0.44,250.0,71.2,4.0,0.28
3,1.0,1.5,-625.0,1796.7499999999982,-0.35,250.0,63.2,5.0,0.25
4,1.0,2.0,-2062.5,2768.69999999999,-0.74,250.0,54.8,5.0,-0.55
5,1.0,2.5,-2925.0,3354.7000000000153,-0.87,250.0,48.8,7.0,-0.89
6,1.0,3.0,-1812.5,2367.1999999999825,-0.77,250.0,46.0,9.0,-0.34
7,1.0,3.5,-350.0,2114.999999999999,-0.17,250.0,44.4,10.0,0.27
8,1.0,4.0,375.0,1989.999999999999,0.19,250.0,42.0,10.0,0.52
9,1.0,4.5,762.5,2254.7999999999975,0.34,250.0,39.6,10.0,0.63
10,1.0,5.0,2037.5,2755.4000000000015,0.74,250.0,38.4,11.0,1.01
11,1.0,5.5,1387.5,2530.3999999999996,0.55,250.0,35.6,11.0,0.76
12,1.0,6.0,1587.5,2305.3999999999987,0.69,250.0,34.0,11.0,0.79
13,2.0,0.5,-1137.7,1525.3500000000004,-0.75,247.0,85.43,3.0,-0.12
14,2.0,1.0,-1200.2,1924.0499999999993,-0.62,247.0,74.49,3.0,-0.13
15,2.0,1.5,-1875.2,2515.349999999985,-0.75,247.0,65.59,3.0,-0.49
16,2.0,2.0,-3062.7,3529.6999999999925,-0.87,247.0,58.3,5.0,-0.98
17,2.0,2.5,-2775.2,3352.8500000000113,-0.83,247.0,53.85,6.0,-0.76
18,2.0,3.0,-1975.2,2782.749999999998,-0.71,247.0,51.01,6.0,-0.38
19,2.0,3.5,-887.7,2803.1499999999996,-0.32,247.0,48.99,6.0,0.05
20,2.0,4.0,437.29999999999995,2644.749999999998,0.17,247.0,47.37,6.0,0.49
21,2.0,4.5,2274.8,2294.749999999998,0.99,247.0,46.15,6.0,1.04
22,2.0,5.0,1987.3,2475.0499999999993,0.8,247.0,43.32,6.0,0.9
23,2.0,5.5,1612.3,2604.149999999998,0.62,247.0,40.89,6.0,0.75
24,2.0,6.0,2537.3,2454.1499999999996,1.03,247.0,39.68,6.0,0.96
25,3.0,0.5,-1641.8,2020.0499999999838,-0.81,248.0,87.1,2.0,-0.53
26,3.0,1.0,-504.29999999999995,1465.1499999999978,-0.34,248.0,79.44,2.0,0.33
27,3.0,1.5,-1179.3,2536.1499999999996,-0.46,248.0,70.97,4.0,-0.08
28,3.0,2.0,-1279.3,3150.100000000006,-0.41,248.0,65.32,4.0,-0.12
29,3.0,2.5,-3191.8,3901.350000000026,-0.82,248.0,58.87,6.0,-0.82
30,3.0,3.0,-1441.8,3123.6500000000033,-0.46,248.0,56.85,6.0,-0.15
31,3.0,3.5,-591.8,3435.7499999999964,-0.17,248.0,54.44,7.0,0.14
32,3.0,4.0,408.20000000000005,3160.7499999999964,0.13,248.0,52.42,7.0,0.43
33,3.0,4.5,958.2,2740.4500000000007,0.35,248.0,50.0,7.0,0.56
34,3.0,5.0,670.7,2974.4500000000007,0.23,248.0,47.18,7.0,0.45
35,3.0,5.5,1120.7,3287.549999999992,0.34,248.0,45.16,7.0,0.55
