date,id,type,lots,price,S/L,T/P,commission,comment,profit,net profit,accumulated profit,max profit
2020-01-15 14:07:36,15,BUY,1,3290.25,3289.0,3290.75,2.05,,0.0,-2.05,-2.05,-2.05
2020-01-15 14:09:25,16,SELL,1,3290.75,0.0,0.0,2.05,,25.0,22.95,20.9,20.9
2020-01-15 14:12:49,25,BUY,1,3292.75,3291.25,3293.25,2.05,,0.0,-2.05,18.849999999999998,20.9
2020-01-15 14:13:00,31,SELL,1,3292.5,0.0,0.0,2.05,,-12.5,-14.55,4.299999999999997,20.9
2020-01-15 14:20:16,96,BUY,1,3294.0,3293.25,3294.5,2.05,,0.0,-2.05,2.2499999999999973,20.9
2020-01-15 14:21:00,102,SELL,1,3294.0,0.0,0.0,2.05,,0.0,-2.05,0.1999999999999975,20.9
2020-01-15 14:24:14,110,SELL,1,3294.25,3295.0,3293.75,2.05,,0.0,-2.05,-1.8500000000000023,20.9
2020-01-15 14:26:00,113,BUY,1,3294.25,0.0,0.0,2.05,,0.0,-2.05,-3.900000000000002,20.9
