combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,5.0,4.0,-337.2,753.6499999999996,-0.45,42.0,47.62,4.0,-0.31
2,5.0,8.0,-87.19999999999999,1131.3500000000004,-0.08,42.0,50.0,4.0,0.08
3,10.0,4.0,448.7,775.3500000000004,0.58,43.0,48.84,9.0,0.65
4,10.0,8.0,-437.2,1635.199999999999,-0.27,42.0,47.62,4.0,-0.25
5,15.0,4.0,128.7,598.9499999999989,0.21,43.0,44.19,5.0,0.32
6,15.0,8.0,-757.2,1505.9500000000007,-0.5,42.0,45.24,4.0,-0.56
