combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
49,1,0.1,0.6,1.3000000000000003,-1663.66,1998.5699999997516,-0.83,159.0,45.91,6.0,-0.72
50,1,0.1,0.6,1.4000000000000004,-1565.16,1854.3999999998632,-0.84,134.0,45.52,6.0,-0.79
51,1,0.1,0.6,1.5000000000000004,-1037.18,1720.5299999998426,-0.6,107.0,47.66,6.0,-0.49
52,1,0.1,0.6,1.6000000000000005,-1352.84,1854.6299999999121,-0.73,66.0,42.42,7.0,-1.25
53,1,0.1,0.6,1.7000000000000006,-1410.64,1601.1599999999326,-0.88,36.0,33.33,7.0,-2.06
54,1,0.1,0.6,1.8000000000000007,-823.24,918.4999999999544,-0.9,26.0,38.46,5.0,-1.29
55,1,0.15,0.1,1.0,-775.22,1763.0099999999038,-0.44,153.0,33.33,11.0,-0.04
56,1,0.15,0.1,1.1,-1118.34,1763.0099999999038,-0.63,141.0,31.91,11.0,-0.36
57,1,0.15,0.1,1.2000000000000002,-1034.58,1698.2699999999006,-0.61,117.0,31.62,10.0,-0.42
58,1,0.15,0.1,1.3000000000000003,-623.48,1518.7899999999008,-0.41,102.0,33.33,8.0,-0.13
59,1,0.15,0.1,1.4000000000000004,-798.6800000000002,1195.6099999999226,-0.67,82.0,31.71,8.0,-0.42
60,1,0.15,0.1,1.5000000000000004,-789.14,1262.7199999999375,-0.62,61.0,31.15,8.0,-0.59
61,1,0.15,0.1,1.6000000000000005,-1345.9,1343.5299999999131,-1.0,35.0,20.0,6.0,-2.11
62,1,0.15,0.1,1.7000000000000006,-1249.54,1247.16999999994,-1.0,21.0,9.52,14.0,-3.58
63,1,0.15,0.1,1.8000000000000007,-686.36,726.8799999999665,-0.94,14.0,14.29,8.0,-1.98
64,1,0.15,0.2,1.0,-1787.54,3685.269999999854,-0.49,221.0,36.2,15.0,-0.42
65,1,0.15,0.2,1.1,-2421.18,3884.229999999852,-0.62,207.0,34.78,15.0,-0.85
66,1,0.15,0.2,1.2000000000000002,-2253.7200000000007,3565.499999999861,-0.63,178.0,34.83,15.0,-0.89
67,1,0.15,0.2,1.3000000000000003,-1874.18,3310.469999999869,-0.57,157.0,35.67,15.0,-0.75
68,1,0.15,0.2,1.4000000000000004,-1635.6799999999996,2914.109999999899,-0.56,132.0,35.61,15.0,-0.73
69,1,0.15,0.2,1.5000000000000004,-1137.7,2664.5699999999306,-0.43,105.0,37.14,18.0,-0.51
70,1,0.15,0.2,1.6000000000000005,-2068.1,2849.889999999925,-0.73,65.0,29.23,14.0,-1.85
71,1,0.15,0.2,1.7000000000000006,-2345.9,2524.049999999932,-0.93,35.0,14.29,21.0,-3.94
72,1,0.15,0.2,1.8000000000000007,-1668.5,1856.649999999956,-0.9,25.0,16.0,14.0,-3.1
73,1,0.15,0.30000000000000004,1.0,-2161.76,4204.749999999844,-0.51,224.0,36.16,15.0,-0.61
74,1,0.15,0.30000000000000004,1.1,-2795.4,4403.709999999841,-0.63,210.0,34.76,15.0,-1.04
75,1,0.15,0.30000000000000004,1.2000000000000002,-2773.2,4084.979999999849,-0.68,180.0,34.44,15.0,-1.19
76,1,0.15,0.30000000000000004,1.3000000000000003,-2393.66,3829.949999999857,-0.62,159.0,35.22,15.0,-1.06
77,1,0.15,0.30000000000000004,1.4000000000000004,-2155.16,3433.58999999989,-0.63,134.0,35.07,15.0,-1.07
78,1,0.15,0.30000000000000004,1.5000000000000004,-1657.18,3184.049999999921,-0.52,107.0,36.45,19.0,-0.88
79,1,0.15,0.30000000000000004,1.6000000000000005,-2312.84,3094.62999999992,-0.75,66.0,28.79,14.0,-2.05
80,1,0.15,0.30000000000000004,1.7000000000000006,-2590.64,2768.7899999999267,-0.94,36.0,13.89,22.0,-4.16
81,1,0.15,0.30000000000000004,1.8000000000000007,-1913.24,2101.3899999999508,-0.91,26.0,15.38,15.0,-3.37
82,1,0.15,0.4,1.0,-2161.76,4204.749999999844,-0.51,224.0,36.16,15.0,-0.61
83,1,0.15,0.4,1.1,-2795.4,4403.709999999841,-0.63,210.0,34.76,15.0,-1.04
84,1,0.15,0.4,1.2000000000000002,-2773.2,4084.979999999849,-0.68,180.0,34.44,15.0,-1.19
85,1,0.15,0.4,1.3000000000000003,-2393.66,3829.949999999857,-0.62,159.0,35.22,15.0,-1.06
86,1,0.15,0.4,1.4000000000000004,-2155.16,3433.58999999989,-0.63,134.0,35.07,15.0,-1.07
87,1,0.15,0.4,1.5000000000000004,-1657.18,3184.049999999921,-0.52,107.0,36.45,19.0,-0.88
