combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
536,2.0,5.5,4.0,40.0,-148.2,1176.2499999999982,-0.13,27.0,37.04,5.0,-0.03
537,2.0,5.5,6.0,10.0,1832.0,2275.0499999999993,0.81,230.0,40.0,6.0,0.84
538,2.0,5.5,6.0,20.0,688.0,2275.0499999999993,0.3,195.0,39.49,6.0,0.48
539,2.0,5.5,6.0,30.0,2167.1,1230.3500000000022,1.76,69.0,47.83,5.0,1.26
540,2.0,5.5,6.0,40.0,664.9,1446.75,0.46,36.0,44.44,5.0,0.58
541,2.0,5.5,8.0,10.0,257.4,2604.1499999999996,0.1,236.0,39.41,6.0,0.36
542,2.0,5.5,8.0,20.0,-482.5,2847.649999999996,-0.17,200.0,39.0,6.0,0.11
543,2.0,5.5,8.0,30.0,1717.3,1571.949999999999,1.09,72.0,47.22,5.0,0.99
544,2.0,5.5,8.0,40.0,664.9,1446.75,0.46,36.0,44.44,5.0,0.58
545,2.0,5.5,10.0,10.0,799.2,2604.1499999999996,0.31,238.0,39.92,6.0,0.52
546,2.0,5.5,10.0,20.0,59.299999999999955,2604.1499999999996,0.02,202.0,39.6,6.0,0.28
547,2.0,5.5,10.0,30.0,1988.2,1571.949999999999,1.26,73.0,47.95,5.0,1.11
548,2.0,5.5,10.0,40.0,664.9,1446.75,0.46,36.0,44.44,5.0,0.58
549,2.0,5.5,12.0,10.0,1341.0,2604.1499999999996,0.51,240.0,40.42,6.0,0.67
550,2.0,5.5,12.0,20.0,601.1,2604.1499999999996,0.23,204.0,40.2,6.0,0.45
551,2.0,5.5,12.0,30.0,2530.0,1035.0499999999993,2.44,75.0,49.33,5.0,1.36
552,2.0,5.5,12.0,40.0,1206.7,1035.0499999999993,1.17,38.0,47.37,5.0,0.95
553,2.0,6.0,2.0,10.0,-1622.8,2079.949999999999,-0.78,33.0,15.15,19.0,-1.76
554,2.0,6.0,2.0,20.0,-377.7,1301.25,-0.29,22.0,22.73,12.0,-0.35
555,2.0,6.0,2.0,30.0,-287.3,285.25,-1.01,3.0,0.0,3.0,-8.32
556,2.0,6.0,2.0,40.0,-287.3,285.25,-1.01,3.0,0.0,3.0,-8.32
557,2.0,6.0,4.0,10.0,2296.6,1876.3499999999985,1.22,199.0,37.19,6.0,1.01
558,2.0,6.0,4.0,20.0,1098.5,2139.6499999999996,0.51,165.0,36.36,7.0,0.63
559,2.0,6.0,4.0,30.0,2499.3,1280.3500000000022,1.95,52.0,46.15,4.0,1.61
560,2.0,6.0,4.0,40.0,-410.7,1471.7499999999982,-0.28,27.0,33.33,5.0,-0.26
561,2.0,6.0,6.0,10.0,2519.5,2125.0499999999993,1.19,230.0,38.7,6.0,1.01
562,2.0,6.0,6.0,20.0,1025.5,2125.0499999999993,0.48,195.0,37.95,6.0,0.57
563,2.0,6.0,6.0,30.0,2479.6,1204.9500000000044,2.06,69.0,46.38,5.0,1.35
564,2.0,6.0,6.0,40.0,552.4,1396.3500000000004,0.4,36.0,41.67,5.0,0.48
565,2.0,6.0,8.0,10.0,969.9,2454.1499999999996,0.4,236.0,38.14,6.0,0.54
566,2.0,6.0,8.0,20.0,-120.0,2785.149999999996,-0.04,200.0,37.5,6.0,0.21
567,2.0,6.0,8.0,30.0,2054.8,1546.5499999999993,1.33,72.0,45.83,5.0,1.1
568,2.0,6.0,8.0,40.0,552.4,1396.3500000000004,0.4,36.0,41.67,5.0,0.48
569,2.0,6.0,10.0,10.0,1561.7,2454.1499999999996,0.64,238.0,38.66,6.0,0.71
570,2.0,6.0,10.0,20.0,471.79999999999995,2489.2499999999964,0.19,202.0,38.12,6.0,0.39
571,2.0,6.0,10.0,30.0,2350.7,1546.5499999999993,1.52,73.0,46.58,5.0,1.23
572,2.0,6.0,10.0,40.0,552.4,1396.3500000000004,0.4,36.0,41.67,5.0,0.48
573,2.0,6.0,12.0,10.0,2153.5,2454.1499999999996,0.88,240.0,39.17,6.0,0.87
574,2.0,6.0,12.0,20.0,1063.6,2489.2499999999964,0.43,204.0,38.73,6.0,0.57
575,2.0,6.0,12.0,30.0,2942.5,1084.6499999999996,2.71,75.0,48.0,5.0,1.49
576,2.0,6.0,12.0,40.0,1144.2,1084.6500000000015,1.05,38.0,44.74,5.0,0.86
577,3.0,0.5,2.0,10.0,-202.9,330.9499999999989,-0.61,19.0,73.68,2.0,-0.51
578,3.0,0.5,2.0,20.0,-316.0,401.64999999999964,-0.79,10.0,60.0,2.0,-1.28
579,3.0,0.5,2.0,30.0,-70.7,91.60000000000036,-0.77,2.0,50.0,1.0,-0.56
580,3.0,0.5,2.0,40.0,-70.7,91.60000000000036,-0.77,2.0,50.0,1.0,-0.56
581,3.0,0.5,4.0,10.0,-652.5,1244.6500000000015,-0.52,150.0,85.33,2.0,-0.05
582,3.0,0.5,4.0,20.0,-1058.2,1453.6499999999978,-0.73,127.0,83.46,2.0,-0.71
583,3.0,0.5,4.0,30.0,-464.4,570.9500000000007,-0.81,34.0,82.35,2.0,-0.72
584,3.0,0.5,4.0,40.0,176.2,179.10000000000036,0.98,18.0,94.44,1.0,1.25
585,3.0,0.5,6.0,10.0,-1102.2,1420.1499999999905,-0.78,217.0,86.64,2.0,-0.21
586,3.0,0.5,6.0,20.0,-1475.3,1691.8499999999894,-0.87,183.0,85.25,2.0,-0.74
587,3.0,0.5,6.0,30.0,-741.9,869.3500000000004,-0.85,59.0,84.75,2.0,-0.8
