combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1003,6.0,2.0,2.0,14.0,-3.6999999999999993,187.3000000000011,-0.02,7.0,42.86,3.0,0.1
1004,6.0,2.0,2.0,16.0,-291.4,289.34999999998945,-1.01,4.0,0.0,4.0,-4.41
1005,6.0,2.0,2.0,18.0,-39.1,37.05000000000291,-1.06,1.0,0.0,1.0,
1006,6.0,2.0,4.0,10.0,-2469.9,3095.4499999997843,-0.8,89.0,52.81,5.0,-1.66
1007,6.0,2.0,4.0,12.0,-2565.8,3095.4499999997843,-0.83,88.0,52.27,5.0,-1.75
1008,6.0,2.0,4.0,14.0,-2661.2,3094.949999999777,-0.86,82.0,51.22,5.0,-1.9
1009,6.0,2.0,4.0,16.0,-1891.9,2227.699999999819,-0.85,59.0,50.85,6.0,-1.59
1010,6.0,2.0,4.0,18.0,-1915.7,1918.3999999998905,-1.0,27.0,37.04,9.0,-2.58
1011,6.0,2.0,6.0,10.0,-2784.4,4232.7499999998245,-0.66,184.0,62.5,5.0,-1.01
1012,6.0,2.0,6.0,12.0,-3087.1,4232.7499999998245,-0.73,181.0,61.88,5.0,-1.18
1013,6.0,2.0,6.0,14.0,-3374.3,4409.549999999732,-0.77,173.0,61.27,5.0,-1.36
1014,6.0,2.0,6.0,16.0,-3587.6,4795.449999999804,-0.75,136.0,59.56,5.0,-1.69
1015,6.0,2.0,6.0,18.0,-3396.2,4190.349999999835,-0.81,82.0,56.1,5.0,-2.1
1016,6.0,2.0,8.0,10.0,-1820.7,4049.9499999997406,-0.45,227.0,66.52,5.0,-0.39
1017,6.0,2.0,8.0,12.0,-2123.4,4049.9499999997406,-0.52,224.0,66.07,5.0,-0.53
1018,6.0,2.0,8.0,14.0,-2602.4,4337.649999999745,-0.6,214.0,65.42,5.0,-0.76
1019,6.0,2.0,8.0,16.0,-2132.0,4107.049999999766,-0.52,170.0,65.29,5.0,-0.71
1020,6.0,2.0,8.0,18.0,-2252.8,3413.149999999823,-0.66,108.0,63.89,4.0,-1.08
1021,6.0,2.0,10.0,10.0,-1199.9,3429.1499999997286,-0.35,239.0,67.78,5.0,-0.09
1022,6.0,2.0,10.0,12.0,-1502.6,3429.1499999997286,-0.44,236.0,67.37,5.0,-0.23
1023,6.0,2.0,10.0,14.0,-1981.6,3716.849999999733,-0.53,226.0,66.81,5.0,-0.45
1024,6.0,2.0,10.0,16.0,-1511.2,3486.2499999997544,-0.43,182.0,67.03,5.0,-0.37
1025,6.0,2.0,10.0,18.0,-1823.8,3080.0499999998137,-0.59,118.0,66.1,4.0,-0.76
1026,6.0,4.0,2.0,10.0,-83.7,317.2999999999738,-0.26,7.0,14.29,3.0,-0.12
1027,6.0,4.0,2.0,12.0,-83.7,317.2999999999738,-0.26,7.0,14.29,3.0,-0.12
1028,6.0,4.0,2.0,14.0,-83.7,317.2999999999738,-0.26,7.0,14.29,3.0,-0.12
1029,6.0,4.0,2.0,16.0,-291.4,289.34999999998945,-1.01,4.0,0.0,4.0,-4.41
1030,6.0,4.0,2.0,18.0,-39.1,37.05000000000291,-1.06,1.0,0.0,1.0,
1031,6.0,4.0,4.0,10.0,-2924.9,3191.049999999833,-0.92,89.0,35.96,8.0,-1.51
1032,6.0,4.0,4.0,12.0,-3010.8,3188.9999999998327,-0.94,88.0,35.23,8.0,-1.57
1033,6.0,4.0,4.0,14.0,-3171.2,3325.8999999997905,-0.95,82.0,34.15,8.0,-1.74
1034,6.0,4.0,4.0,16.0,-2471.9,2561.199999999848,-0.97,59.0,33.9,12.0,-1.66
1035,6.0,4.0,4.0,18.0,-1605.7,1855.3499999999312,-0.87,27.0,29.63,10.0,-1.67
1036,6.0,4.0,6.0,10.0,-994.4,4701.349999999771,-0.21,184.0,48.91,5.0,-0.09
1037,6.0,4.0,6.0,12.0,-1387.1,4701.349999999771,-0.3,181.0,48.07,5.0,-0.23
1038,6.0,4.0,6.0,14.0,-1939.3,4701.349999999777,-0.41,173.0,47.4,5.0,-0.46
1039,6.0,4.0,6.0,16.0,-3522.6,5488.549999999785,-0.64,136.0,44.85,5.0,-1.23
1040,6.0,4.0,6.0,18.0,-3236.2,4683.449999999815,-0.69,82.0,43.9,5.0,-1.5
1041,6.0,4.0,8.0,10.0,-195.70000000000005,4357.249999999653,-0.04,227.0,52.42,6.0,0.23
1042,6.0,4.0,8.0,12.0,-588.4,4357.249999999653,-0.14,224.0,51.79,6.0,0.1
1043,6.0,4.0,8.0,14.0,-1532.4,4944.949999999661,-0.31,214.0,50.93,6.0,-0.21
1044,6.0,4.0,8.0,16.0,-2832.0,5064.349999999698,-0.56,170.0,49.41,6.0,-0.75
1045,6.0,4.0,8.0,18.0,-3032.8,4615.449999999781,-0.66,108.0,49.07,6.0,-1.1
1046,6.0,4.0,10.0,10.0,755.1,3820.649999999857,0.2,239.0,53.97,6.0,0.52
1047,6.0,4.0,10.0,12.0,362.4,3820.649999999857,0.09,236.0,53.39,6.0,0.4
1048,6.0,4.0,10.0,14.0,-581.6,3994.1499999996504,-0.15,226.0,52.65,6.0,0.11
1049,6.0,4.0,10.0,16.0,-1881.2,4273.849999999746,-0.44,182.0,51.65,6.0,-0.38
1050,6.0,4.0,10.0,18.0,-2473.8,4252.349999999773,-0.58,118.0,51.69,6.0,-0.8
1051,6.0,6.0,2.0,10.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1052,6.0,6.0,2.0,12.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1053,6.0,6.0,2.0,14.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1054,6.0,6.0,2.0,16.0,-291.4,289.34999999998945,-1.01,4.0,0.0,4.0,-4.41
1055,6.0,6.0,2.0,18.0,-39.1,37.05000000000291,-1.06,1.0,0.0,1.0,
1056,6.0,6.0,4.0,10.0,-2474.9,3981.0499999998156,-0.62,89.0,31.46,8.0,-1.07
1057,6.0,6.0,4.0,12.0,-2560.8,3978.9999999998163,-0.64,88.0,30.68,8.0,-1.12
1058,6.0,6.0,4.0,14.0,-2731.2,3885.899999999774,-0.7,82.0,29.27,8.0,-1.26
1059,6.0,6.0,4.0,16.0,-1921.9,2711.199999999846,-0.71,59.0,28.81,12.0,-1.03
1060,6.0,6.0,4.0,18.0,-2255.7,2362.499999999889,-0.95,27.0,18.52,10.0,-2.2
1061,6.0,6.0,6.0,10.0,-989.4,4586.349999999751,-0.22,184.0,41.3,6.0,-0.07
1062,6.0,6.0,6.0,12.0,-1482.1,4586.349999999751,-0.32,181.0,40.33,6.0,-0.23
1063,6.0,6.0,6.0,14.0,-1654.3,4989.749999999676,-0.33,173.0,39.88,5.0,-0.3
1064,6.0,6.0,6.0,16.0,-2842.6,5926.449999999704,-0.48,136.0,37.5,5.0,-0.79
1065,6.0,6.0,6.0,18.0,-3281.2,5087.649999999761,-0.64,82.0,35.37,5.0,-1.28
1066,6.0,6.0,8.0,10.0,2489.3,2589.249999999851,0.96,227.0,46.26,6.0,0.88
1067,6.0,6.0,8.0,12.0,1996.6,2589.249999999851,0.77,224.0,45.54,6.0,0.76
1068,6.0,6.0,8.0,14.0,1232.6,3334.349999999795,0.37,214.0,44.86,7.0,0.56
1069,6.0,6.0,8.0,16.0,-72.0,3767.149999999644,-0.02,170.0,43.53,6.0,0.18
1070,6.0,6.0,8.0,18.0,-1377.8,3680.449999999748,-0.37,108.0,42.59,6.0,-0.33
