combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1289,30.0,16.0,30.0,80.0,1007.3,2335.0499999999975,0.43,47.0,63.83,4.0,0.48
1290,30.0,16.0,30.0,90.0,853.4,1837.5500000000002,0.46,26.0,65.38,3.0,0.52
1291,30.0,16.0,40.0,50.0,-102.29999999999995,4201.8499999999985,-0.02,153.0,63.4,4.0,0.1
1292,30.0,16.0,40.0,60.0,-1435.4,4587.249999999997,-0.31,144.0,62.5,4.0,-0.17
1293,30.0,16.0,40.0,70.0,-1369.3,5009.950000000002,-0.27,123.0,64.23,4.0,-0.19
1294,30.0,16.0,40.0,80.0,649.1,3469.449999999997,0.19,99.0,66.67,4.0,0.26
1295,30.0,16.0,40.0,90.0,-194.7,3191.249999999998,-0.06,67.0,67.16,3.0,0.02
1296,30.0,16.0,50.0,50.0,3305.1,4128.550000000002,0.8,189.0,66.67,4.0,0.71
1297,30.0,16.0,50.0,60.0,1656.1,4128.550000000002,0.4,179.0,65.92,4.0,0.42
1298,30.0,16.0,50.0,70.0,1406.3,4753.350000000001,0.3,157.0,67.52,4.0,0.38
1299,30.0,16.0,50.0,80.0,3424.7,2578.949999999999,1.33,133.0,69.92,4.0,0.8
1300,30.0,16.0,50.0,90.0,1001.4,3211.3499999999995,0.31,96.0,69.79,3.0,0.31
1301,30.0,20.0,10.0,50.0,382.7,109.09999999999854,3.51,3.0,66.67,1.0,1.27
1302,30.0,20.0,10.0,60.0,382.7,109.09999999999854,3.51,3.0,66.67,1.0,1.27
1303,30.0,20.0,10.0,70.0,491.8,2.0499999999992724,239.9,2.0,100.0,0.0,3.21
1304,30.0,20.0,10.0,80.0,491.8,2.0499999999992724,239.9,2.0,100.0,0.0,3.21
1305,30.0,20.0,10.0,90.0,135.9,0.0,inf,1.0,100.0,0.0,
1306,30.0,20.0,20.0,50.0,641.6,1083.9500000000007,0.59,24.0,50.0,3.0,0.44
1307,30.0,20.0,20.0,60.0,489.8,1235.75,0.4,22.0,50.0,3.0,0.36
