combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,4.0,-1580.9,2810.749999999991,-0.56,249.0,71.49,5.0,-0.25
2,1.0,8.0,-1755.9,2623.049999999991,-0.67,249.0,55.02,5.0,-0.25
3,1.0,12.0,904.1,3126.0499999999993,0.29,249.0,47.79,6.0,0.53
4,1.0,16.0,6004.1,1956.3500000000004,3.07,249.0,44.58,6.0,1.65
5,1.0,20.0,6854.1,3159.999999999999,2.17,249.0,39.36,7.0,1.64
6,1.0,24.0,5444.1,2860.199999999996,1.9,249.0,34.54,7.0,1.22
7,2.0,4.0,-1977.7,2647.6500000000087,-0.75,247.0,74.49,4.0,-0.41
8,2.0,8.0,-2282.7,3881.650000000007,-0.59,247.0,60.73,5.0,-0.37
9,2.0,12.0,3697.3,3201.650000000005,1.15,247.0,56.28,6.0,1.14
10,2.0,16.0,3632.3,4431.750000000004,0.82,247.0,48.99,6.0,0.96
11,2.0,20.0,6812.3,5121.750000000017,1.33,247.0,44.94,7.0,1.45
12,2.0,24.0,8517.3,4286.750000000009,1.99,247.0,41.3,7.0,1.59
13,3.0,4.0,-562.7,2570.849999999993,-0.22,247.0,79.35,3.0,0.17
14,3.0,8.0,412.29999999999995,6061.150000000005,0.07,247.0,67.61,4.0,0.38
15,3.0,12.0,3382.3,5706.150000000018,0.59,247.0,60.32,6.0,0.97
16,3.0,16.0,2407.3,5641.349999999997,0.43,247.0,51.82,6.0,0.65
17,3.0,20.0,5042.3,5398.050000000008,0.93,247.0,48.18,6.0,1.03
18,3.0,24.0,7192.3,5178.050000000021,1.39,247.0,44.53,7.0,1.28
19,4.0,4.0,1232.3,2354.7499999999964,0.52,247.0,81.78,4.0,0.88
20,4.0,8.0,5532.3,2815.8500000000076,1.96,247.0,72.47,4.0,1.81
21,4.0,12.0,3162.3,3809.8499999999967,0.83,247.0,61.54,6.0,0.89
22,4.0,16.0,3442.3,4832.250000000004,0.71,247.0,54.66,6.0,0.82
23,4.0,20.0,3857.3,5202.250000000007,0.74,247.0,49.39,6.0,0.8
24,4.0,24.0,6247.3,5955.550000000012,1.05,247.0,46.15,6.0,1.09
25,5.0,4.0,1540.0,1827.6499999999942,0.84,250.0,83.6,4.0,0.95
26,5.0,8.0,4270.0,3360.2500000000364,1.27,250.0,72.8,4.0,1.39
27,5.0,12.0,385.0,5496.949999999999,0.07,250.0,61.2,6.0,0.29
28,5.0,16.0,-2340.0,8018.050000000013,-0.29,250.0,53.2,6.0,-0.23
29,5.0,20.0,-1575.0,7603.050000000007,-0.21,250.0,48.4,6.0,-0.09
30,5.0,24.0,4055.0,7834.850000000015,0.52,250.0,47.2,6.0,0.73
31,6.0,4.0,1939.1,2522.649999999998,0.77,249.0,84.34,4.0,1.1
32,6.0,8.0,-2075.9,9576.950000000012,-0.22,249.0,70.68,5.0,-0.24
33,6.0,12.0,-5529.8,9532.800000000014,-0.58,178.0,60.11,5.0,-1.04
34,6.0,16.0,-5913.2,7966.200000000005,-0.74,152.0,53.29,6.0,-1.09
35,6.0,20.0,-5738.9,10826.900000000014,-0.53,179.0,48.6,6.0,-0.87
36,6.0,24.0,2449.1,10604.850000000002,0.23,249.0,48.59,6.0,0.48
37,10.0,4.0,-5649.4,6028.900000000035,-0.94,234.0,80.77,3.0,-1.37
38,10.0,8.0,-6068.0,6847.500000000019,-0.89,130.0,69.23,4.0,-1.49
39,10.0,12.0,-5527.8,6922.2000000000035,-0.8,158.0,63.29,6.0,-1.03
40,10.0,16.0,-5596.0,7571.300000000001,-0.74,160.0,56.88,6.0,-0.93
41,10.0,20.0,-5626.9,9492.200000000019,-0.59,209.0,52.15,7.0,-0.73
42,10.0,24.0,-3146.8,9223.350000000031,-0.34,248.0,50.4,7.0,-0.27
43,15.0,4.0,-286.79999999999995,4397.8500000000095,-0.07,248.0,85.89,2.0,0.22
44,15.0,8.0,-1831.8,7912.85000000001,-0.23,248.0,75.0,4.0,-0.17
45,15.0,12.0,2903.2,6714.750000000024,0.43,248.0,69.76,4.0,0.7
46,15.0,16.0,7583.2,5869.049999999997,1.29,248.0,65.73,5.0,1.34
47,15.0,20.0,5853.2,5550.250000000016,1.05,248.0,60.48,5.0,0.93
48,15.0,24.0,4398.2,6003.650000000011,0.73,248.0,55.65,5.0,0.68
49,30.0,4.0,878.7,2834.0499999999956,0.31,243.0,87.65,2.0,0.57
50,30.0,8.0,6408.7,2737.449999999997,2.34,243.0,81.48,4.0,1.62
51,30.0,12.0,6433.7,4770.049999999997,1.35,243.0,73.66,5.0,1.29
52,30.0,16.0,4823.7,4485.049999999999,1.08,243.0,67.08,5.0,0.87
53,30.0,20.0,2363.7,6405.550000000007,0.37,243.0,61.32,5.0,0.44
54,30.0,24.0,567.8,5527.350000000001,0.1,242.0,57.44,5.0,0.19
