combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
61,10.0,0.4,7476.62,2987.28999999995,2.5,237.0,44.3,7.0,1.7
62,10.0,0.45,4416.62,4487.289999999866,0.98,236.0,40.25,7.0,1.02
63,10.0,0.5,1746.62,9077.28999999992,0.19,236.0,38.56,7.0,0.4
64,15.0,0.1,966.6199999999999,2171.389999999945,0.45,237.0,74.26,3.0,0.79
65,15.0,0.15,1266.62,2424.049999999981,0.52,237.0,65.82,4.0,0.74
66,15.0,0.2,4006.62,1951.4499999999098,2.05,237.0,61.6,4.0,1.39
67,15.0,0.25,5876.62,1665.0299999999825,3.53,237.0,57.38,5.0,1.68
68,15.0,0.3,7471.36,1994.5099999999984,3.75,236.0,54.24,5.0,1.91
69,15.0,0.35,9101.36,1894.5099999999893,4.8,236.0,51.27,5.0,2.09
70,15.0,0.4,10281.36,1794.5099999999948,5.73,236.0,49.15,5.0,2.16
71,15.0,0.45,3601.3599999999997,7245.72999999985,0.5,236.0,45.34,5.0,0.69
72,15.0,0.5,4391.36,7995.149999999947,0.55,236.0,43.22,6.0,0.78
73,30.0,0.1,-425.52,4603.769999999802,-0.09,248.0,78.63,3.0,0.23
74,30.0,0.15,-3610.66,7566.140000000003,-0.48,209.0,71.77,4.0,-0.48
75,30.0,0.2,1229.22,6498.509999999702,0.19,247.0,67.21,4.0,0.4
76,30.0,0.25,1319.22,6731.049999999916,0.2,247.0,62.35,4.0,0.39
77,30.0,0.3,2583.96,7958.910000000029,0.32,246.0,59.35,4.0,0.55
78,30.0,0.35,-3728.92,9581.219999999916,-0.39,158.0,52.53,4.0,-0.47
79,30.0,0.4,-3524.7,7986.999999999983,-0.44,155.0,50.32,5.0,-0.43
80,30.0,0.45,-4124.7,8516.079999999793,-0.48,155.0,47.1,6.0,-0.52
81,30.0,0.5,-1384.7,7194.049999999973,-0.19,153.0,45.1,6.0,-0.11
