combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
82,10.0,5.0,212.5,4715.949999999999,0.05,250.0,55.6,6.0,0.28
83,10.0,5.5,1275.0,4149.549999999996,0.31,250.0,54.0,7.0,0.49
84,10.0,6.0,1625.0,4327.549999999997,0.38,250.0,52.4,7.0,0.54
85,15.0,0.5,-266.79999999999995,1500.6499999999996,-0.18,248.0,94.76,1.0,0.48
86,15.0,1.0,83.20000000000005,1421.1499999999978,0.06,248.0,88.31,1.0,0.52
87,15.0,1.5,-2329.3,2849.2499999999927,-0.82,248.0,80.65,2.0,-0.48
88,15.0,2.0,-2154.3,3249.249999999989,-0.66,248.0,76.21,2.0,-0.37
89,15.0,2.5,-2141.8,3986.7499999999945,-0.54,248.0,71.77,2.0,-0.33
90,15.0,3.0,-3016.8,4624.250000000009,-0.65,248.0,67.74,4.0,-0.52
91,15.0,3.5,-2891.8,4412.350000000008,-0.66,248.0,64.52,4.0,-0.46
92,15.0,4.0,-1904.3,4327.450000000002,-0.44,248.0,62.1,5.0,-0.21
93,15.0,4.5,-1604.3,5903.850000000004,-0.27,248.0,59.68,5.0,-0.13
94,15.0,5.0,-1354.3,6003.850000000008,-0.23,248.0,57.26,7.0,-0.07
95,15.0,5.5,-5163.2,5585.200000000008,-0.92,177.0,50.85,7.0,-1.04
96,15.0,6.0,-166.79999999999995,5578.850000000008,-0.03,248.0,53.63,7.0,0.17
97,30.0,0.5,945.5,1364.6499999999942,0.69,245.0,95.51,1.0,1.52
98,30.0,1.0,670.5,1927.9499999999953,0.35,245.0,89.39,2.0,0.8
99,30.0,1.5,3508.0,1995.550000000012,1.76,245.0,86.94,2.0,1.87
100,30.0,2.0,4220.5,1518.0500000000047,2.78,245.0,82.86,3.0,1.83
101,30.0,2.5,4233.0,2700.25,1.57,245.0,78.78,3.0,1.57
102,30.0,3.0,5758.0,2300.25,2.5,245.0,75.92,3.0,1.87
103,30.0,3.5,7070.5,2412.75,2.93,245.0,73.47,4.0,2.07
104,30.0,4.0,5133.0,2854.1500000000005,1.8,245.0,68.57,4.0,1.45
105,30.0,4.5,6058.0,2916.6500000000005,2.08,245.0,66.53,4.0,1.57
106,30.0,5.0,5845.5,4093.7500000000064,1.43,244.0,63.93,5.0,1.45
107,30.0,5.5,5908.0,4106.2500000000055,1.44,243.0,61.73,5.0,1.37
108,30.0,6.0,8145.5,4218.7500000000055,1.93,243.0,60.91,5.0,1.76
