combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1,0.5,0.2,traditional,-812.5,1303.2499999999982,-0.62,250,82.8,2,0.25
2,1,0.5,0.2,staggered,-812.5,1303.2499999999982,-0.62,250,82.8,2,0.25
3,1,0.5,0.4,traditional,-2076.9,2151.6499999999833,-0.97,93,73.12,4,-2.49
4,1,0.5,0.4,staggered,-2845.7,2846.1000000000167,-1.0,61,59.02,4,-6.9
5,1,0.5,0.6,traditional,-2076.9,2151.6499999999833,-0.97,93,73.12,4,-2.49
6,1,0.5,0.6,staggered,-2845.7,2846.1000000000167,-1.0,61,59.02,4,-6.9
7,1,0.5,0.8,traditional,670.9000000000001,766.8500000000004,0.87,275,84.36,2,2.32
8,1,0.5,0.8,staggered,145.0999999999999,971.3500000000022,0.15,250,82.8,2,1.82
9,1,1.0,0.2,traditional,-3154.1,3197.100000000026,-0.99,60,58.33,4,-8.64
10,1,1.0,0.2,staggered,-3087.5,3109.600000000026,-0.99,54,37.04,10,-8.35
11,1,1.0,0.4,traditional,-3623.8,3714.550000000041,-0.98,127,66.14,4,-4.34
12,1,1.0,0.4,staggered,-3586.3,3658.0000000000473,-0.98,97,55.67,6,-4.87
13,1,1.0,0.6,traditional,-3623.8,3714.550000000041,-0.98,127,66.14,4,-4.34
14,1,1.0,0.6,staggered,-3586.3,3658.0000000000473,-0.98,97,55.67,6,-4.87
15,1,1.0,0.8,traditional,-1360.7,1774.249999999991,-0.77,202,70.3,5,-0.23
16,1,1.0,0.8,staggered,-2132.8,2439.749999999989,-0.87,178,66.29,5,-1.18
17,1,1.5,0.2,traditional,-3212.5,3210.4500000000326,-1.0,59,57.63,4,-9.15
18,1,1.5,0.2,staggered,-3125.0,3134.600000000026,-1.0,53,33.96,10,-8.45
19,1,1.5,0.4,traditional,-4487.3,4487.500000000051,-1.0,112,61.61,4,-6.91
20,1,1.5,0.4,staggered,-4737.3,4735.2500000000555,-1.0,80,43.75,6,-9.12
21,1,1.5,0.6,traditional,-1178.5,1913.3499999999913,-0.62,217,66.82,4,-0.09
22,1,1.5,0.6,staggered,-1083.0,1808.4499999999898,-0.6,186,61.29,4,-0.03
23,1,1.5,0.8,traditional,-953.7,1541.6499999999905,-0.62,226,61.95,5,0.07
24,1,1.5,0.8,staggered,-1329.1,1898.7499999999818,-0.7,219,60.73,5,-0.22
25,1,2.0,0.2,traditional,-4629.1,4629.30000000005,-1.0,110,60.91,4,-7.42
26,1,2.0,0.2,staggered,-4829.1,4827.050000000055,-1.0,78,42.31,6,-9.62
27,1,2.0,0.4,traditional,-3633.0,3889.950000000039,-0.93,180,66.67,5,-2.87
28,1,2.0,0.4,staggered,-3387.3,3727.4500000000407,-0.91,128,53.12,5,-2.97
29,1,2.0,0.6,traditional,-1453.7,1835.6499999999796,-0.79,226,61.95,5,-0.28
30,1,2.0,0.6,staggered,-1812.5,2217.1999999999844,-0.82,181,52.49,5,-0.62
31,1,2.0,0.8,traditional,-1087.3,1991.6499999999896,-0.55,228,59.65,5,-0.03
32,1,2.0,0.8,staggered,-1375.0,1968.6999999999916,-0.7,203,54.68,5,-0.23
33,1,2.5,0.2,traditional,-4737.5,4737.70000000005,-1.0,109,60.55,4,-7.84
34,1,2.5,0.2,staggered,-5037.5,5035.450000000054,-1.0,77,41.56,6,-10.75
35,1,2.5,0.4,traditional,-2516.4,2789.9500000000135,-0.9,211,65.88,4,-1.24
36,1,2.5,0.4,staggered,-1854.1,2058.799999999981,-0.9,153,52.94,6,-0.76
37,1,2.5,0.6,traditional,-1545.7,1933.349999999985,-0.8,227,59.47,5,-0.32
38,1,2.5,0.6,staggered,-1350.0,1867.1499999999942,-0.72,181,49.17,6,-0.22
39,1,2.5,0.8,traditional,-2033.2,2358.599999999984,-0.86,236,52.12,5,-0.52
40,1,2.5,0.8,staggered,-2012.5,2329.4999999999827,-0.86,223,49.33,8,-0.52
41,1,3.0,0.2,traditional,-4737.5,4737.70000000005,-1.0,109,60.55,4,-7.84
42,1,3.0,0.2,staggered,-5073.55,5071.500000000051,-1.0,77,41.56,6,-11.02
43,1,3.0,0.4,traditional,32427.25,2790.1500000012165,11.62,222,61.26,5,1.02
44,1,3.0,0.4,staggered,-1862.5,2279.4999999999873,-0.82,163,47.24,6,-0.64
45,1,3.0,0.6,traditional,-1766.4,2196.099999999983,-0.8,232,55.17,5,-0.39
