combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1,0.1,0.2,traditional,-2330.26,2377.0799999995197,-0.98,186,78.49,4,-2.34
2,1,0.1,0.2,staggered,-2209.74,2391.819999999543,-0.92,135,66.67,4,-2.14
3,1,0.1,0.4,traditional,-1437.14,1917.599999999572,-0.75,255,67.45,6,-0.18
4,1,0.1,0.4,staggered,-1974.48,2193.8999999995467,-0.9,189,55.03,6,-0.77
5,1,0.1,0.6,traditional,-2003.44,2829.209999999717,-0.71,240,56.67,6,-0.62
6,1,0.1,0.6,staggered,-2639.74,3069.2099999996917,-0.86,207,49.28,8,-1.23
7,1,0.1,0.8,traditional,-1338.7,2479.2099999997063,-0.54,252,50.79,6,-0.09
8,1,0.1,0.8,staggered,-1770.26,2689.729999999705,-0.66,238,47.9,6,-0.41
9,1,0.15,0.2,traditional,-2900.26,3047.0799999994797,-0.95,197,71.57,3,-2.58
10,1,0.15,0.2,staggered,-2365.0,2451.819999999536,-0.96,155,62.58,5,-1.76
11,1,0.15,0.4,traditional,-2423.44,3139.2099999997226,-0.77,240,56.67,6,-0.93
12,1,0.15,0.4,staggered,-3255.0,3474.469999999732,-0.94,192,45.31,8,-1.72
13,1,0.15,0.6,traditional,-2099.2200000000003,3099.729999999796,-0.68,248,48.39,6,-0.57
14,1,0.15,0.6,staggered,-2260.26,2990.2499999998217,-0.76,214,39.72,9,-0.71
15,1,0.15,0.8,traditional,-2279.74,3445.569999999804,-0.66,248,39.52,8,-0.61
16,1,0.15,0.8,staggered,-2580.26,3706.089999999821,-0.7,240,37.08,9,-0.8
17,1,0.2,0.2,traditional,-2589.74,3020.71999999953,-0.86,245,66.12,6,-1.3
18,1,0.2,0.2,staggered,-2315.0,2765.9799999995066,-0.84,187,54.55,6,-1.05
19,1,0.2,0.4,traditional,-2889.2200000000003,3453.899999999464,-0.84,250,50.4,6,-1.09
20,1,0.2,0.4,staggered,-2369.74,3316.4999999995052,-0.71,208,39.9,9,-0.76
21,1,0.2,0.6,traditional,-2275.0,3200.5899999997364,-0.71,247,39.27,8,-0.57
22,1,0.2,0.6,staggered,-3559.62,3557.249999999509,-1.0,191,31.94,13,-1.54
23,1,0.2,0.8,traditional,-3559.62,3557.249999999509,-1.0,191,31.94,13,-1.54
24,1,0.2,0.8,staggered,-3559.62,3557.249999999509,-1.0,191,31.94,13,-1.54
25,1,0.25,0.2,traditional,-3559.62,3557.249999999509,-1.0,191,31.94,13,-1.54
