combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1,2.0,0.2,traditional,-2280.5,2311.7999999988715,-0.99,220,83.64,3,-1.77
2,1,2.0,0.2,staggered,-1530.5,1621.7999999988679,-0.94,179,79.89,3,-0.69
3,1,2.0,0.4,traditional,49.5,1433.6499999995103,0.03,251,74.9,8,0.9
4,1,2.0,0.4,staggered,619.5,1142.0999999998385,0.54,201,68.66,8,1.43
5,1,2.0,0.6,traditional,1029.5,1210.9499999998716,0.85,247,67.61,9,1.45
6,1,2.0,0.6,staggered,1324.5,1217.9999999998563,1.09,218,63.3,9,1.72
7,1,2.0,0.8,traditional,304.5,1628.6499999996395,0.19,253,60.47,9,0.8
8,1,2.0,0.8,staggered,394.5,1523.6499999996322,0.26,244,59.02,9,0.87
9,1,4.0,0.2,traditional,734.5,985.9499999998607,0.74,251,74.9,8,1.35
10,1,4.0,0.2,staggered,1559.5,1042.0999999998276,1.5,201,68.66,8,1.97
11,1,4.0,0.4,traditional,1409.5,1126.0499999998083,1.25,253,60.47,9,1.28
12,1,4.0,0.4,staggered,985.4000000000001,1258.349999999824,0.78,216,53.7,9,1.09
13,1,4.0,0.6,traditional,1534.5,1357.9499999998006,1.13,251,52.99,9,1.18
14,1,4.0,0.6,staggered,874.5,1422.9499999998097,0.61,220,46.36,9,0.92
15,1,4.0,0.8,traditional,-170.5,2081.9499999996515,-0.08,253,43.48,9,0.36
16,1,4.0,0.8,staggered,-170.5,2201.949999999644,-0.08,242,40.91,9,0.37
17,1,6.0,0.2,traditional,2454.5,1052.7499999998618,2.33,247,67.61,9,2.07
18,1,6.0,0.2,staggered,3044.5,1119.7999999998356,2.72,210,61.9,9,2.4
19,1,6.0,0.4,traditional,2669.5,1424.249999999818,1.87,251,52.99,9,1.54
20,1,6.0,0.4,staggered,1289.5,1450.9499999999043,0.89,210,43.81,9,1.02
21,1,6.0,0.6,traditional,774.5,2049.249999999829,0.38,253,40.71,9,0.65
22,1,6.0,0.6,staggered,1574.5,1816.9499999998352,0.87,234,35.9,9,0.94
23,1,6.0,0.8,traditional,2159.5,2056.9499999998443,1.05,255,35.69,9,1.04
24,1,6.0,0.8,staggered,2469.5,2071.9499999998425,1.19,247,33.6,9,1.14
25,1,8.0,0.2,traditional,1799.5,1164.5499999998992,1.55,253,60.47,9,1.41
26,1,8.0,0.2,staggered,1824.5,1509.9499999996806,1.21,215,53.49,9,1.37
27,1,8.0,0.4,traditional,1279.5,1900.9499999998916,0.67,253,43.48,9,0.81
28,1,8.0,0.4,staggered,1944.5,1915.9499999998898,1.01,225,36.44,9,1.03
29,1,8.0,0.6,traditional,4954.5,1979.2499999998236,2.5,255,35.69,9,1.71
30,1,8.0,0.6,staggered,5984.5,1794.2499999998345,3.34,243,32.51,9,1.98
31,1,8.0,0.8,traditional,4199.5,2024.2499999998272,2.07,254,31.1,14,1.43
32,1,8.0,0.8,staggered,5089.5,2029.2499999998363,2.51,251,30.28,14,1.66
33,1,10.0,0.2,traditional,2784.5,1263.2499999998909,2.2,252,55.95,9,1.57
34,1,10.0,0.2,staggered,2589.5,1510.9499999999043,1.71,212,47.64,9,1.49
35,1,10.0,0.4,traditional,3919.5,2135.9499999998934,1.84,252,39.29,9,1.48
36,1,10.0,0.4,staggered,5994.5,1594.2499999998345,3.76,232,34.05,9,1.98
37,1,10.0,0.6,traditional,5209.5,1785.9499999999061,2.92,255,31.76,14,1.59
38,1,10.0,0.6,staggered,6039.5,1815.0499999999065,3.33,241,27.8,14,1.77
39,1,10.0,0.8,traditional,5709.5,1860.9499999999061,3.07,255,29.02,14,1.65
40,1,10.0,0.8,staggered,6084.5,1865.0499999999065,3.26,245,26.12,14,1.75
41,1,12.0,0.2,traditional,4489.5,1345.9499999998989,3.34,251,52.99,9,2.0
42,1,12.0,0.2,staggered,3509.5,1510.9499999998952,2.32,210,43.81,9,1.66
