combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
81,2,20.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
82,2,20.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
83,2,20.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
84,2,20.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
85,2,20.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
86,2,20.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
87,2,20.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
88,2,20.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
89,2,24.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
90,2,24.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
91,2,24.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
92,2,24.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
93,2,24.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
94,2,24.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
95,2,24.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
96,2,24.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
97,3,4.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
98,3,4.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
99,3,4.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
100,3,4.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
101,3,4.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
102,3,4.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
103,3,4.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
104,3,4.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
105,3,8.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
106,3,8.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
107,3,8.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
108,3,8.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
109,3,8.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
110,3,8.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
111,3,8.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
112,3,8.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
113,3,12.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
114,3,12.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
115,3,12.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
116,3,12.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
117,3,12.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
118,3,12.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
119,3,12.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
120,3,12.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
121,3,16.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
122,3,16.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
123,3,16.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
124,3,16.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
125,3,16.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
126,3,16.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
127,3,16.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
128,3,16.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
129,3,20.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
130,3,20.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
131,3,20.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
132,3,20.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
133,3,20.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
134,3,20.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
135,3,20.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
136,3,20.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
137,3,24.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
138,3,24.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
139,3,24.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
140,3,24.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
141,3,24.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
142,3,24.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
143,3,24.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
144,3,24.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
145,4,4.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
146,4,4.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
147,4,4.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
148,4,4.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
149,4,4.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
150,4,4.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
151,4,4.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
152,4,4.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
153,4,8.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
154,4,8.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
155,4,8.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
