combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,0.1,-1362.86,2506.5499999998365,-0.54,239.0,44.35,6.0,-0.16
2,1.0,0.15,-2382.8599999999997,3997.4099999998643,-0.6,239.0,35.15,15.0,-0.69
3,1.0,0.2,-3511.18,4009.139999999852,-0.88,207.0,27.54,22.0,-1.31
4,1.0,0.25,-3496.96,4424.919999999873,-0.79,204.0,23.53,22.0,-1.19
5,1.0,0.3,-3508.46,3601.5199999997876,-0.97,179.0,20.11,21.0,-1.23
6,1.0,0.35,-3553.2,4046.2599999996664,-0.88,180.0,17.78,22.0,-1.16
7,1.0,0.4,-3468.0,4361.0599999997,-0.8,200.0,16.5,22.0,-0.95
8,1.0,0.45,-3502.74,4795.799999999605,-0.73,201.0,14.93,23.0,-0.91
9,1.0,0.5,-102.8599999999999,4796.6099999996395,-0.02,239.0,16.32,23.0,0.3
10,2.0,0.1,-789.1600000000001,2317.8699999999735,-0.34,234.0,49.57,7.0,0.21
11,2.0,0.15,-1239.16,3375.2099999999355,-0.37,234.0,44.02,9.0,-0.06
12,2.0,0.2,-1489.16,3391.5099999998693,-0.44,234.0,37.61,7.0,-0.16
13,2.0,0.25,-3471.06,3468.6899999997295,-1.0,169.0,30.18,13.0,-1.15
14,2.0,0.3,-3460.77,3486.5499999998483,-0.99,160.0,25.62,13.0,-1.13
15,2.0,0.35,-11242.37,0.0,-inf,1.0,0.0,1.0,
16,2.0,0.4,-3646.32,4659.899999999802,-0.78,168.0,21.43,13.0,-0.99
17,2.0,0.45,-3586.32,5099.899999999708,-0.7,168.0,19.64,18.0,-0.91
18,2.0,0.5,-3554.76,5568.339999999747,-0.64,174.0,18.39,18.0,-0.84
19,3.0,0.1,-609.6800000000001,1977.469999999983,-0.31,232.0,50.43,5.0,0.32
20,3.0,0.15,-829.6800000000001,2604.569999999956,-0.32,232.0,46.55,12.0,0.13
21,3.0,0.2,-3570.54,3661.5799999996925,-0.98,171.0,37.43,12.0,-1.24
22,3.0,0.25,-3668.4,4695.679999999841,-0.78,160.0,32.5,13.0,-1.21
23,3.0,0.3,-3488.4,4741.459999999931,-0.74,160.0,29.38,13.0,-1.03
24,3.0,0.35,-3462.62,5365.679999999805,-0.65,163.0,26.99,13.0,-0.92
25,3.0,0.4,-3516.32,6069.379999999845,-0.58,168.0,25.0,17.0,-0.85
26,3.0,0.45,-3461.06,6664.119999999741,-0.52,169.0,23.08,18.0,-0.79
27,3.0,0.5,2390.3199999999997,5645.9699999998065,0.42,232.0,25.86,20.0,0.81
28,4.0,0.1,-1233.9,1889.500000000001,-0.65,235.0,49.36,10.0,-0.08
29,4.0,0.15,-1883.9,3247.649999999894,-0.58,235.0,45.96,11.0,-0.35
30,4.0,0.2,-3509.5,3785.279999999708,-0.93,175.0,39.43,11.0,-1.15
31,4.0,0.25,-3617.88,3993.659999999819,-0.91,162.0,34.57,11.0,-1.13
32,4.0,0.3,-3586.32,4576.13999999996,-0.78,168.0,32.14,14.0,-0.97
33,4.0,0.35,-3495.2799999999997,5585.09999999984,-0.63,172.0,29.65,11.0,-0.85
34,4.0,0.4,2096.1,4861.689999999874,0.43,235.0,31.49,11.0,0.8
35,4.0,0.45,4206.1,4612.089999999838,0.91,235.0,30.64,11.0,1.23
36,4.0,0.5,5566.1,4213.529999999953,1.32,235.0,29.79,11.0,1.44
37,5.0,0.1,-1678.12,3299.5000000000127,-0.51,238.0,48.74,10.0,-0.36
38,5.0,0.15,-3537.88,3535.509999999902,-1.0,162.0,42.59,7.0,-1.5
39,5.0,0.2,-3598.86,3596.489999999798,-1.0,139.0,38.85,9.0,-1.39
40,5.0,0.25,-3646.84,4147.699999999913,-0.88,166.0,37.35,12.0,-1.05
41,5.0,0.3,-3497.88,3998.7399999999907,-0.87,162.0,34.57,9.0,-0.92
42,5.0,0.35,-3462.62,5267.639999999881,-0.66,163.0,31.9,9.0,-0.83
43,5.0,0.4,-3479.5,6195.499999999913,-0.56,175.0,29.71,12.0,-0.74
44,5.0,0.45,4921.88,5497.869999999852,0.9,238.0,33.19,12.0,1.31
45,5.0,0.5,5461.88,4787.86999999989,1.14,238.0,31.93,12.0,1.35
46,6.0,0.1,-775.46,2120.5400000000236,-0.37,229.0,50.66,16.0,0.2
47,6.0,0.15,-725.46,2781.059999999943,-0.26,229.0,49.78,11.0,0.16
48,6.0,0.2,-3546.32,3697.980000000005,-0.96,168.0,42.86,14.0,-1.12
49,6.0,0.25,-3478.4,3740.0599999999686,-0.93,160.0,40.0,11.0,-0.97
50,6.0,0.3,-3571.58,5766.939999999947,-0.62,167.0,37.72,14.0,-0.86
51,6.0,0.35,2034.54,6318.789999999958,0.32,229.0,39.3,14.0,0.76
52,6.0,0.4,5604.54,5568.789999999957,1.01,229.0,38.86,11.0,1.49
53,6.0,0.45,8004.54,5428.789999999948,1.47,229.0,37.99,11.0,1.89
54,6.0,0.5,9574.54,5268.789999999961,1.82,229.0,37.12,11.0,2.08
55,10.0,0.1,-33.38000000000011,1154.5100000000148,-0.03,237.0,52.32,11.0,0.71
56,10.0,0.15,386.6199999999999,2928.5699999999506,0.13,237.0,51.05,9.0,0.64
57,10.0,0.2,1226.62,3236.0299999998806,0.38,237.0,50.21,6.0,0.77
58,10.0,0.25,1966.62,3716.8899999999285,0.53,237.0,48.1,10.0,0.85
59,10.0,0.3,1716.62,4297.469999999947,0.4,237.0,45.57,8.0,0.68
60,10.0,0.35,4671.36,4815.669999999922,0.97,236.0,44.92,8.0,1.26
61,10.0,0.4,8861.36,3889.429999999924,2.28,236.0,44.92,7.0,2.01
62,10.0,0.45,8481.36,4307.289999999868,1.97,235.0,42.55,7.0,1.77
63,10.0,0.5,5891.36,8987.289999999915,0.66,235.0,40.85,7.0,0.98
64,15.0,0.1,-328.6400000000001,1620.9299999999748,-0.2,236.0,51.69,7.0,0.51
65,15.0,0.15,921.3599999999999,1892.2699999999895,0.49,236.0,52.54,5.0,0.89
66,15.0,0.2,3811.3599999999997,2123.5300000000025,1.79,236.0,53.81,6.0,1.61
67,15.0,0.25,6261.36,1688.7899999999809,3.71,236.0,53.39,5.0,1.99
68,15.0,0.3,7146.1,2808.2099999999573,2.54,235.0,51.91,5.0,1.96
69,15.0,0.35,8766.1,3348.2699999999368,2.62,235.0,50.21,6.0,2.09
70,15.0,0.4,9276.1,2786.189999999955,3.33,235.0,48.51,6.0,2.0
71,15.0,0.45,-3611.06,8754.399999999876,-0.41,169.0,42.6,6.0,-0.42
72,15.0,0.5,3816.1,8645.149999999945,0.44,235.0,43.83,6.0,0.65
73,30.0,0.1,-575.52,1999.150000000005,-0.29,248.0,51.21,7.0,0.38
74,30.0,0.15,104.48000000000002,2398.570000000029,0.04,248.0,51.61,9.0,0.54
75,30.0,0.2,6239.22,1687.6900000000223,3.7,247.0,56.28,5.0,2.29
76,30.0,0.25,9799.22,1588.2099999999937,6.17,247.0,57.09,5.0,2.79
77,30.0,0.3,9763.96,1608.7299999999832,6.07,246.0,55.69,5.0,2.39
78,30.0,0.35,7173.96,4889.949999999968,1.47,246.0,51.22,4.0,1.57
79,30.0,0.4,5013.96,5182.089999999951,0.97,246.0,49.19,5.0,1.07
80,30.0,0.45,3383.96,6947.009999999727,0.49,246.0,46.75,7.0,0.73
81,30.0,0.5,-3699.04,8370.879999999857,-0.44,195.0,43.08,6.0,-0.46
