combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
66,6.0,3.0,-2375.0,3535.550000000002,-0.67,250.0,48.4,9.0,-0.56
67,6.0,3.5,-1350.0,3047.9499999999953,-0.44,250.0,49.2,7.0,-0.12
68,6.0,4.0,-1200.0,4085.450000000009,-0.29,250.0,48.8,7.0,-0.06
69,6.0,4.5,-1025.0,3657.3000000000175,-0.28,250.0,48.0,7.0,0.0
70,6.0,5.0,-462.5,3582.3000000000175,-0.13,250.0,47.2,8.0,0.15
71,6.0,5.5,1987.5,2759.0499999999993,0.72,250.0,47.6,10.0,0.75
72,6.0,6.0,487.5,3928.5500000000056,0.12,250.0,45.2,8.0,0.36
73,10.0,0.5,-5095.9,5093.850000000046,-1.0,249.0,17.27,20.0,-13.64
74,10.0,1.0,-1225.0,1669.5499999999975,-0.73,250.0,49.2,8.0,-0.25
75,10.0,1.5,-1637.5,2743.549999999992,-0.6,250.0,48.4,7.0,-0.52
76,10.0,2.0,-2137.5,3282.8500000000095,-0.65,250.0,48.4,7.0,-0.68
77,10.0,2.5,-3750.0,4081.0500000000447,-0.92,250.0,46.0,8.0,-1.35
78,10.0,3.0,-3262.5,3644.8500000000313,-0.9,250.0,47.6,8.0,-0.92
79,10.0,3.5,-3437.5,4131.050000000034,-0.83,250.0,47.6,5.0,-0.86
80,10.0,4.0,-5150.7,5148.650000000032,-1.0,177.0,43.5,7.0,-1.66
81,10.0,4.5,-5246.4,5244.350000000026,-1.0,179.0,43.58,7.0,-1.51
82,10.0,5.0,-5111.6,5109.550000000032,-1.0,201.0,44.28,6.0,-1.23
83,10.0,5.5,-725.0,4453.200000000056,-0.16,250.0,48.4,7.0,0.07
84,10.0,6.0,-5240.7,5238.65000000006,-1.0,202.0,43.07,7.0,-1.09
85,15.0,0.5,-4275.0,4272.950000000035,-1.0,250.0,24.0,29.0,-9.61
86,15.0,1.0,-425.0,1166.1499999999996,-0.36,250.0,52.4,11.0,0.76
87,15.0,1.5,325.0,780.0499999999993,0.42,250.0,53.6,4.0,1.14
88,15.0,2.0,-350.0,1179.9500000000007,-0.3,250.0,52.0,6.0,0.41
89,15.0,2.5,112.5,1474.6499999999978,0.08,250.0,52.4,5.0,0.56
90,15.0,3.0,-2012.5,3043.4000000000133,-0.66,250.0,49.2,5.0,-0.41
91,15.0,3.5,-2125.0,3419.800000000003,-0.62,250.0,49.2,5.0,-0.39
92,15.0,4.0,-2350.0,4367.950000000005,-0.54,250.0,49.2,6.0,-0.41
93,15.0,4.5,-3237.5,5505.450000000007,-0.59,250.0,48.4,9.0,-0.62
94,15.0,5.0,-1612.5,5118.850000000006,-0.32,250.0,49.6,7.0,-0.15
95,15.0,5.5,-5225.7,5759.300000000035,-0.91,177.0,44.07,5.0,-1.26
96,15.0,6.0,-5221.6,5805.200000000033,-0.9,176.0,43.75,5.0,-1.18
97,30.0,0.5,-4087.7,4129.500000000033,-0.99,247.0,25.1,26.0,-9.01
98,30.0,1.0,-1262.7,1522.0499999999956,-0.83,247.0,48.99,7.0,-0.32
99,30.0,1.5,-1262.7,2305.6499999999887,-0.55,247.0,49.39,9.0,-0.21
100,30.0,2.0,-1687.7,2930.649999999994,-0.58,247.0,49.39,9.0,-0.42
101,30.0,2.5,-1050.2,2782.0499999999975,-0.38,247.0,50.61,9.0,-0.02
102,30.0,3.0,-1000.2,3610.149999999998,-0.28,247.0,50.61,8.0,0.01
103,30.0,3.5,-637.7,3310.149999999994,-0.19,247.0,51.01,8.0,0.14
104,30.0,4.0,-1512.7,4576.550000000034,-0.33,247.0,50.2,6.0,-0.16
105,30.0,4.5,237.29999999999995,3855.850000000002,0.06,247.0,51.82,5.0,0.35
106,30.0,5.0,724.8,4285.350000000002,0.17,246.0,52.03,5.0,0.45
107,30.0,5.5,1124.8,5387.850000000013,0.21,245.0,51.43,5.0,0.5
108,30.0,6.0,2774.8,5583.750000000013,0.5,245.0,52.24,5.0,0.82
